DATE,TCL_AT,TCL_LT,TCL_HT,TEMP_EF_CAP,TEMP_EF_DONGNAM,TEMP_EF_DAEGYUNG,TEMP_EF_CHOONG,TEMP_EF_HONAM,TEMP_EF_MEAN,POWER_WATER,POWER_FIRE,POWER_NUCLEAR,POWER_NAEYEON,POWER_GROUP,POWER_TRANS,POWER_GAS,POWER_JUNG,POWER_MOO,POWER_YOU,POWER_LNG,ELEC_ALL,ELEC_FAMILY,ELEC_PUBLIC,ELEC_SERVICE,ELEC_CIVIL_SUM,ELEC_ARGRI_FISHING,ELEC_MINING,ELEC_MANUFACT,ELEC_INDSUM
1996-01-01,0.0047635294117647,-0.189310588235294,0.240528235294118,0.84711,5.91778,6.73765,3.33479,1.88651,3.744768,363291,2119473,5914976,72696,445503,27078,8408979,1138275,449786,5478528,233891.0,16224867,2814138,557379,3616542,6988059,301811,80421,8854576,9236808
1996-02-01,0.0077076470588235,-0.226982352941176,0.372690588235294,0.8143,5.90875,6.73291,3.32638,1.87883,3.732234,356379,1875589,5497157,64679,445503,27078,7593086,1138275,449786,5478528,233891.0,15363840,2788312,558610,3551611,6898533,327617,70471,8067220,8465308
1996-03-01,0.137972352941176,-0.0456311764705882,0.367738823529412,0.60731,5.81529,6.67634,3.22,1.7874,3.621268,362980,1923728,6195468,64834,445503,27078,8306941,1138275,449786,5478528,233891.0,16094268,2555048,528672,3333225,6416945,345359,81877,9250086,9677322
1996-04-01,0.26191,0.0294564705882352,0.582131764705882,0.24132,5.71003,6.61264,3.07795,1.66054,3.460496,367415,1747174,5637764,62517,445503,27078,8299351,1138275,449786,5478528,233891.0,16266027,2629204,555354,3430624,6615182,292235,84596,9274014,9650845
1996-05-01,0.428758823529412,0.242891764705882,0.688457647058824,-0.38328,5.67433,6.58956,3.02586,1.62083,3.30546,440662,2092955,5800186,60807,445503,27078,8156027,1138275,449786,5478528,233891.0,16028072,2525076,511468,3333483,6370027,302913,80963,9274169,9658045
1996-06-01,0.520022352941177,0.389187058823529,0.717235294117647,-0.70081,5.63238,6.54333,2.9654,1.58217,3.204494,576838,1900449,6515060,58841,445503,27078,7623686,1138275,449786,5478528,233891.0,16465534,2545295,536842,3514613,6596750,450147,84923,9333713,9868783
1996-07-01,0.596192941176471,0.423853529411765,0.810264117647059,-0.81068,5.59896,6.52853,2.93751,1.56448,3.16376,687972,2261394,7265681,66550,445503,27078,8067004,1138275,449786,5478528,233891.0,17202305,2631364,603677,4061955,7296996,302701,83924,9518685,9905310
1996-08-01,0.63432,0.477368235294118,0.829271764705882,-0.8656,5.57471,6.52978,2.94074,1.56549,3.149024,608372,2423413,6635571,73492,445503,27078,9068224,1138275,449786,5478528,233891.0,18298057,3034723,657678,4610675,8303076,411536,83296,9500149,9994981
1996-09-01,0.527151176470588,0.32791,0.702526470588235,-0.66947,5.6122,6.56536,2.97122,1.58408,3.212678,378641,2213031,6331855,57056,445503,27078,7520586,1138275,449786,5478528,233891.0,17597176,2873304,625651,4397640,7896595,371318,83822,9245440,9700580
1996-10-01,0.375821764705882,0.0965717647058823,0.584698823529412,-0.09905,5.67417,6.61426,3.0671,1.6426,3.379816,343534,2970692,5816529,70313,445503,27078,8288360,1138275,449786,5478528,233891.0,16867422,2606517,526297,3650633,6783447,307950,90643,9685382,10083975
1996-11-01,0.199595294117647,-0.0664158823529411,0.429978235294118,0.50425,5.74181,6.65284,3.1574,1.70866,3.552992,324866,2720570,5916371,57790,445503,27078,8458068,1138275,449786,5478528,233891.0,17217667,2714885,571731,3687640,6974256,473154,87852,9682404,10243410
1996-12-01,0.0717258823529411,-0.154635294117647,0.331925882352941,0.72614,5.9393,6.75288,3.364,1.90442,3.737348,390373,2694059,6397722,62271,445503,27078,8863206,1138275,449786,5478528,233891.0,17158393,2797487,610843,3852251,7260581,289113,87332,9521367,9897812
1997-01-01,-0.0230882352941176,-0.301584117647059,0.303878235294118,0.86639,5.8744,6.71688,3.30008,1.83445,3.71844,379979,3086281,6084799,69361,445503,27078,8841019,1138275,449786,5478528,233891.0,16224867,2814138,557379,3616542,6988059,301811,80421,8854576,9236808
1997-02-01,0.0709164705882352,-0.155784705882353,0.442114117647059,0.76413,5.87605,6.71506,3.28897,1.83939,3.69672,304792,2809659,5019339,56702,445503,27078,8037794,1138275,449786,5478528,233891.0,15363840,2788312,558610,3551611,6898533,327617,70471,8067220,8465308
1997-03-01,0.231187058823529,-0.0242588235294117,0.559394705882353,0.4826,5.79873,6.66794,3.19651,1.75551,3.580258,289682,3445012,4779982,62804,445503,27078,9825381,1138275,449786,5478528,233891.0,16094268,2555048,528672,3333225,6416945,345359,81877,9250086,9677322
1997-04-01,0.396735882352941,0.125717058823529,0.690134705882353,0.03801,5.73145,6.62884,3.10179,1.67831,3.43568,319199,3218134,5721999,66599,445503,27078,8416221,1138275,449786,5478528,233891.0,16266027,2629204,555354,3430624,6615182,292235,84596,9274014,9650845
1997-05-01,0.541060588235294,0.291958823529412,0.818184117647059,-0.29856,5.68172,6.5941,3.01163,1.61899,3.321576,443087,2778159,5870348,59108,445503,27078,8996029,1138275,449786,5478528,233891.0,16028072,2525076,511468,3333483,6370027,302913,80963,9274169,9658045
1997-06-01,0.696075882352941,0.455240588235294,0.948715294117647,-0.71464,5.63967,6.55835,2.96889,1.58936,3.208326,641498,2691939,7062841,54649,445503,27078,8181289,1138275,449786,5478528,233891.0,16465534,2545295,536842,3514613,6596750,450147,84923,9333713,9868783
1997-07-01,0.779295882352941,0.589952352941176,1.01330058823529,-0.84775,5.61369,6.55143,2.96058,1.57728,3.171046,807805,2868641,7796002,62068,445503,27078,8870128,1138275,449786,5478528,233891.0,17202305,2631364,603677,4061955,7296996,302701,83924,9518685,9905310
1997-08-01,0.805171176470588,0.650214705882353,1.00893470588235,-0.89054,5.54832,6.50707,2.92492,1.55856,3.129666,616668,2901560,7828720,67988,445503,27078,9174802,1138275,449786,5478528,233891.0,18298057,3034723,657678,4610675,8303076,411536,83296,9500149,9994981
1997-09-01,0.639301764705882,0.394071176470588,0.958707647058824,-0.51714,5.62953,6.58319,2.99379,1.60395,3.258664,404777,2283312,7129680,51786,445503,27078,8462285,1138275,449786,5478528,233891.0,17597176,2873304,625651,4397640,7896595,371318,83822,9245440,9700580
1997-10-01,0.454500588235294,0.0834388235294117,0.768751176470588,-0.02592,5.64383,6.59678,3.02919,1.62162,3.3731,329600,3074968,6054010,53632,445503,27078,9724725,1138275,449786,5478528,233891.0,16867422,2606517,526297,3650633,6783447,307950,90643,9685382,10083975
1997-11-01,0.311721176470588,0.0085111764705882,0.59929,0.33534,5.72143,6.64987,3.14738,1.69358,3.50952,355187,2780438,6173887,54457,445503,27078,9561146,1138275,449786,5478528,233891.0,17217667,2714885,571731,3687640,6974256,473154,87852,9682404,10243410
1997-12-01,0.105560588235294,-0.191208823529412,0.408141764705882,0.69981,5.82056,6.7056,3.27711,1.81225,3.663066,511250,2486008,7564042,58870,445503,27078,8722472,1138275,449786,5478528,233891.0,17158393,2797487,610843,3852251,7260581,289113,87332,9521367,9897812
1998-01-01,0.0235482352941176,-0.342738823529412,0.309988235294118,0.80812,5.8445,6.70743,3.29954,1.83425,3.698768,386858,2100427,7409840,48913,445503,27078,7300480,1138275,449786,5478528,233891.0,15800172,2805573,582849,3777655,7166077,316631,72114,8245349,8634094
1998-02-01,0.169231176470588,-0.158347058823529,0.564794705882353,0.64696,5.79976,6.68254,3.22926,1.77493,3.62669,376998,1796358,5724333,47022,445503,27078,8345810,1754064,292365,6127088,172293.0,15414800,2820949,567980,3600225,6989154,330808,68842,8025997,8425647
1998-03-01,0.30011,0.0159594117647058,0.719165882352941,0.43459,5.78037,6.66293,3.18073,1.73654,3.559032,459801,1755337,6788747,65115,445503,27078,8551680,1515938,412555,6551537,71650.0,15621705,2700132,536653,3325284,6562069,324921,76603,8658113,9059637
1998-04-01,0.572450588235294,0.178549411764706,0.95642,-0.18694,5.71989,6.6248,3.09999,1.67773,3.387094,585975,1368879,7431684,54126,445503,27078,7523118,951292,459883,6088770,23173.0,15708803,2605285,569459,3455175,6629919,295683,77871,8705330,9078884
1998-05-01,0.69607,0.443434117647059,1.05367176470588,-0.44176,5.66695,6.58613,3.01389,1.61612,3.288266,690735,1712760,6747681,58022,445503,27078,8195673,1026622,591326,6568393,9332.0,15626729,2637033,532698,3393120,6562851,294314,78413,8691151,9063878
1998-06-01,0.780273529411765,0.525625294117647,1.07855529411765,-0.62455,5.63898,6.56191,2.9662,1.58776,3.22606,568012,2309313,7174442,47674,445503,27078,7357013,745888,534954,6030844,45327.0,15786326,2579128,552387,3472327,6603842,423919,128049,8630515,9182483
1998-07-01,0.925930588235294,0.773568235294118,1.16942470588235,-0.81997,5.61234,6.54565,2.94955,1.57319,3.172152,706291,2963430,8044226,54986,445503,27078,6643359,481114,550869,5389683,221693.0,16176705,2632137,615474,3897449,7145060,303093,74064,8654488,9031645
1998-08-01,0.955320588235294,0.764984117647059,1.16753294117647,-0.83259,5.56138,6.51356,2.93019,1.55973,3.146454,864623,2788128,8293659,54248,445503,27078,6306832,441600,593782,5105821,165629.0,16609760,2830602,654583,4336453,7821638,366650,71829,8349643,8788122
1998-09-01,0.857974705882353,0.609010588235294,1.15344058823529,-0.69687,5.61197,6.56939,2.97979,1.59108,3.211072,405984,2643097,7461610,38233,445503,27078,7687864,643295,596874,6254278,193417.0,17254502,2924749,646374,4239392,7810515,346086,80369,9017532,9443987
1998-10-01,0.655079411764706,0.326477058823529,0.927835294117647,-0.29939,5.66145,6.60959,3.05926,1.63724,3.33363,401642,2313323,8428625,34705,445503,27078,6012622,115415,537139,5261101,98967.0,16032799,2831967,565800,3703630,7101397,315064,75531,8540807,8931402
1998-11-01,0.331729411764706,-0.012485294117647,0.729145294117647,0.39161,5.73698,6.65974,3.18554,1.7213,3.539034,303707,2419337,7884261,31568,445503,27078,7196426,354498,746772,5998801,96355.0,16462463,2744199,586378,3600647,6931224,406589,84398,9040251,9531238
1998-12-01,0.147855882352941,-0.137976470588235,0.493776470588235,0.70666,5.80581,6.69624,3.26684,1.78558,3.652226,348407,2334658,8299864,40679,445503,27078,7920701,774627,743863,6297313,104898.0,16975574,2800845,639147,3878525,7318517,299994,85316,9271747,9657057
1999-01-01,0.0453694117647058,-0.27532,0.421120588235294,0.78592,5.85549,6.72781,3.324,1.86064,3.710772,309705,2768796,7710470,24576,445503,27078,7777823,400089,478689,6788155,110890.0,16857652,2897210,634454,4082079,7613743,341495,72429,8829986,9243910
1999-02-01,0.101736470588235,-0.297840588235294,0.448767647058823,0.75658,5.87584,6.73003,3.32506,1.86751,3.711004,375125,1843083,7414906,22062,445503,27078,6869754,779077,445518,5547419,97740.0,16034674,2973971,624352,4017336,7615659,363945,63029,7992041,8419015
