YEAR,QUARTER,Value
1996,Q1,36550.3
1996,Q2,37152.4
1996,Q3,37792.4
1996,Q4,38372.4
1997,Q1,38710.8
1997,Q2,40823
1997,Q3,40274.9
1997,Q4,39448.7
1998,Q1,36553
1998,Q2,35736.4
1998,Q3,36688.8
1998,Q4,39039.8
1999,Q1,39785.9
1999,Q2,44028
1999,Q3,46253.5
1999,Q4,48516.7
2000,Q1,49942.6
2000,Q2,51149.6
2000,Q3,54074.1
2000,Q4,52300.1
2001,Q1,52935.4
2001,Q2,52914.6
2001,Q3,53260.6
2001,Q4,54254.1
2002,Q1,56059
2002,Q2,57725
2002,Q3,59539.5
2002,Q4,60269.3
2003,Q1,59793.3
2003,Q2,59170.1
2003,Q3,61648.2
2003,Q4,64728.1
2004,Q1,66644.6
2004,Q2,67708.2
2004,Q3,67888.4
2004,Q4,68461.7
2005,Q1,68954.3
2005,Q2,70370
2005,Q3,72254.6
2005,Q4,73486
2006,Q1,75432.2
2006,Q2,75902.1
2006,Q3,78182.7
2006,Q4,77988.6
2007,Q1,80381.3
2007,Q2,82195.9
2007,Q3,83645
2007,Q4,86446.3
2008,Q1,87193.8
2008,Q2,87964.1
2008,Q3,88477.8
2008,Q4,80823.5
2009,Q1,78843.9
2009,Q2,81019.1
2009,Q3,87998.1
2009,Q4,88555.1
2010,Q1,90597.3
2010,Q2,95119.7
2010,Q3,97254.2
2010,Q4,99272.1
2011,Q1,100746.2
2011,Q2,100201.2
2011,Q3,100708.1
2011,Q4,100626.2
2012,Q1,101329.1
2012,Q2,101811.7
2012,Q3,102435.5
2012,Q4,102383.7
2013,Q1,103845.1
2013,Q2,104805.9
2013,Q3,105570.2
2013,Q4,106271.9
2014,Q1,108107.8
2014,Q2,109409.5
2014,Q3,108224
2014,Q4,108112.3
2015,Q1,109293.8
2015,Q2,109932.2
2015,Q3,110819.6
2015,Q4,111088
2016,Q1,111242.2
2016,Q2,113539.4
2016,Q3,112372
2016,Q4,114140.6
2017,Q1,116370.5
2017,Q2,116327.5
2017,Q3,118923.1
2017,Q4,116449.3
2018,Q1,118178.2
2018,Q2,120138.5
2018,Q3,112349
2018,Q4,122864.4
2019,Q1,119760.8
2019,Q2,120997.2
2019,Q3,123266.6
2019,Q4,124910.1
2020,Q1,124049
2020,Q2,113154.3
2020,Q3,121747.5
2020,Q4,124740.4
