YEAR,MONTH,RV,GAS,OTHER OIL PRODUCT
1996,1,0.97,26.94,27.86
1996,2,0.93,26.94,29.04
1996,3,0.96,26.94,27.99
1996,4,0.94,26.94,28.74
1996,5,0.92,26.94,29.18
1996,6,0.94,26.94,28.73
1996,7,0.86,26.94,31.19
1996,8,0.83,26.94,32.55
1996,9,0.81,26.94,33.11
1996,10,0.79,26.94,34.17
1996,11,0.75,26.94,35.88
1996,12,0.74,26.94,36.3
1997,1,0.69,26.94,39.02
1997,2,0.68,26.94,39.43
1997,3,0.74,31.02,38.35
1997,4,0.81,31.02,38.13
1997,5,0.83,31.02,37.23
1997,6,0.82,31.02,37.77
1997,7,0.87,31.02,35.49
1997,8,0.89,31.02,34.88
1997,9,0.85,31.02,36.32
1997,10,0.84,31.02,36.88
1997,11,0.79,31.02,39.34
1997,12,0.63,39.86,62.8
1998,1,0.6,39.86,66.48
1998,2,0.63,45.3,71.9
1998,3,0.79,45.3,57.24
1998,4,0.8,45.3,56.9
1998,5,0.92,45.3,49.33
1998,6,0.93,45.3,48.77
1998,7,0.93,45.3,48.56
1998,8,0.94,45.3,48.44
1998,9,0.91,45.3,49.66
1998,10,0.81,42.51,52.75
1998,11,0.8,42.51,52.92
1998,12,0.85,42.51,50.28
1999,1,0.9,41.46,45.99
1999,2,0.91,41.46,45.48
1999,3,0.92,41.46,45.28
1999,4,0.81,38.56,47.57
1999,5,0.76,38.56,50.69
1999,6,0.75,38.07,50.66
1999,7,0.75,38.07,50.57
1999,8,0.73,38.07,51.99
1999,9,0.7,38.07,54.08
1999,10,0.72,41.78,58.37
1999,11,0.69,41.78,60.97
1999,12,0.69,41.78,60.23
2000,1,0.77,44.74,58.07
2000,2,0.77,44.74,58.24
2000,3,0.77,44.74,58.42
2000,4,0.77,44.74,57.94
2000,5,0.88,49.06,55.49
2000,6,0.82,49.06,59.67
2000,7,0.82,49.06,59.98
2000,8,0.79,49.06,62.02
2000,9,0.76,49.06,34.55
2000,10,0.77,52.65,68.11
2000,11,0.77,52.65,38.49
2000,12,0.77,52.65,38.58
2001,1,0.87,57.65,66.42
2001,2,0.88,57.65,65.88
2001,3,0.87,57.65,66.28
2001,4,0.9,60.56,67.18
2001,5,0.91,60.56,66.19
2001,6,0.91,60.56,66.19
2001,7,0.9,60.56,67.32
2001,8,0.92,60.56,65.7
2001,9,0.93,60.56,65.08
2001,10,0.93,60.56,65.23
2001,11,0.98,60.56,61.95
2001,12,1.02,59.64,58.45
2002,1,0.86,51.11,59.56
2002,2,0.85,51.11,60.08
2002,3,0.83,51.11,61.72
2002,4,0.79,51.11,64.61
2002,5,0.77,51.11,66.51
2002,6,0.77,51.11,66.25
2002,7,0.76,51.11,67.22
2002,8,0.77,51.11,66.76
2002,9,0.75,51.11,68.27
2002,10,0.71,51.11,71.66
2002,11,0.74,53.76,73.12
2002,12,0.75,53.76,71.34
2003,1,0.74,55.31,74.8
2003,2,0.72,55.31,76.7
2003,3,0.75,58.77,78.68
2003,4,0.8,58.77,73.07
2003,5,0.83,58.77,70.62
2003,6,0.85,58.77,69.27
2003,7,0.8,57.54,71.78
2003,8,0.8,57.54,72.27
2003,9,0.75,54.87,72.93
2003,10,0.75,54.87,73.11
2003,11,0.73,54.87,75.53
2003,12,0.71,54.87,77.42
2004,1,0.73,54.87,79.63
2004,2,0.72,54.87,80.85
2004,3,0.72,54.87,80.53
2004,4,0.72,54.87,80.87
2004,5,0.71,54.87,81.66
2004,6,0.7,54.87,82.16
2004,7,0.71,54.87,81.99
2004,8,0.68,54.87,85.11
2004,9,0.71,61.86,86.65
2004,10,0.7,61.86,88.39
2004,11,0.74,66.06,89.13
2004,12,0.78,66.06,84.63
2005,1,0.77,63.96,83.24
2005,2,0.76,63.96,83.62
2005,3,0.67,58.02,86.15
2005,4,0.64,58.02,90.89
2005,5,0.67,60.75,90.3
2005,6,0.66,59.75,90.83
2005,7,0.64,61.67,96.08
2005,8,0.63,61.67,98.16
2005,9,0.6,61.67,102.3
2005,10,0.6,61.67,103.56
2005,11,0.65,65.19,100.7
2005,12,0.66,65.19,99.4
2006,1,0.69,69.76,100.93
2006,2,0.69,69.76,101.83
2006,3,0.68,69.76,102.17
2006,4,0.66,69.76,105.24
2006,5,0.66,69.76,106.38
2006,6,0.65,69.76,106.76
2006,7,0.69,75.57,108.98
2006,8,0.69,75.57,109.87
2006,9,0.78,82.68,106.38
2006,10,0.82,82.68,100.38
2006,11,0.78,76.69,98.3
2006,12,0.78,76.69,98.47
2007,1,0.76,73.6,97.08
2007,2,0.76,73.6,97.25
2007,3,0.71,71.55,100.31
2007,4,0.69,71.55,103.96
2007,5,0.7,74.89,107.27
2007,6,0.69,74.89,108.09
2007,7,0.68,74.89,109.95
2007,8,0.68,74.89,109.85
2007,9,0.74,83.24,112.46
2007,10,0.72,83.24,115.2
2007,11,0.7,85.65,122.21
2007,12,0.67,85.65,127.47
2008,1,0.65,83.24,128.93
2008,2,0.64,83.24,129.37
2008,3,0.62,83.24,133.6
2008,4,0.59,83.24,141.35
2008,5,0.53,83.24,155.7
2008,6,0.49,83.24,169.09
2008,7,0.48,83.24,173.66
2008,8,0.51,83.24,163.44
2008,9,0.53,83.24,158.03
2008,10,0.57,83.24,146.95
2008,11,0.7,86.52,123.5
2008,12,0.81,89.36,110.87
2009,1,0.81,88.12,108.25
2009,2,0.78,88.12,112.74
2009,3,0.77,88.12,114
2009,4,0.77,89.36,116.29
2009,5,0.78,89.36,114.22
2009,6,0.73,90.34,122.97
2009,7,0.77,96.46,125.52
2009,8,0.74,96.46,131.19
2009,9,0.74,96.46,129.6
2009,10,0.77,96.46,126.06
2009,11,0.73,96.46,131.97
2009,12,0.73,96.46,132.41
2010,1,0.73,98.43,134.87
2010,2,0.75,98.43,131.36
2010,3,0.72,98.43,136.73
2010,4,0.7,98.43,140.34
2010,5,0.71,98.43,139.13
2010,6,0.72,98.43,136.68
2010,7,0.73,98.43,135.03
2010,8,0.72,98.43,136.34
2010,9,0.76,102.41,134.65
2010,10,0.74,102.41,138.88
2010,11,0.68,96.84,143.15
2010,12,0.63,96.84,153.5
2011,1,0.64,102.22,160.24
2011,2,0.62,102.22,164.03
2011,3,0.57,102.22,179.88
2011,4,0.55,102.22,184.78
2011,5,0.6,108.22,179.36
2011,6,0.62,108.22,174.18
2011,7,0.62,108.22,175.92
2011,8,0.62,108.22,173.9
2011,9,0.61,108.22,178.29
2011,10,0.64,114.52,179.36
2011,11,0.64,114.52,177.85
2011,12,0.64,114.52,179.35
2012,1,0.62,114.52,185.95
2012,2,0.6,114.52,191.89
2012,3,0.58,114.52,198.14
2012,4,0.58,114.52,198.45
2012,5,0.61,114.52,186.35
2012,6,0.67,114.52,171.1
2012,7,0.67,114.52,171.44
2012,8,0.63,114.52,182.28
2012,9,0.61,114.52,188.12
2012,10,0.63,114.52,183.09
2012,11,0.65,114.52,176.76
2012,12,0.66,114.52,174.34
2013,1,0.66,114.52,174.1
2013,2,0.63,115.87,183.64
2013,3,0.68,119.94,176.45
2013,4,0.71,119.94,169.75
2013,5,0.72,119.94,166.99
2013,6,0.71,119.94,169.56
2013,7,0.69,119.94,174.47
2013,8,0.69,119.94,174.29
2013,9,0.7,120.95,173.6
2013,10,0.72,120.95,167.88
2013,11,0.72,120.95,168.31
2013,12,0.7,120.95,172.01
2014,1,0.76,128.61,169.17
2014,2,0.76,128.61,170.14
2014,3,0.76,128.61,169.62
2014,4,0.78,128.61,165.79
2014,5,0.78,128.61,164.01
2014,6,0.79,128.61,136.09
2014,7,0.78,127.19,162.33
2014,8,0.82,128.19,155.94
2014,9,0.84,129.19,151.74
2014,10,0.89,130.19,142.28
2014,11,0.94,131.19,134.87
2014,12,1.11,132.19,114.31
2015,1,1.27,119.11,94.13
2015,2,1.19,119.11,100.36
2015,3,0.99,104.62,105.83
2015,4,1.01,104.62,103.84
2015,5,0.82,91.79,111.89
2015,6,0.81,91.79,113.11
2015,7,0.87,91.79,106.01
2015,8,0.94,91.79,98.07
2015,9,1.01,96.34,95.3
2015,10,1.02,96.34,94.17
2015,11,1.05,96.34,91.71
2015,12,1.13,96.34,85.5
2016,1,1.15,86.54,75.08
2016,2,1.2,86.54,72.07
2016,3,1,77.11,77.2
2016,4,0.97,77.11,79.31
2016,5,0.83,70.93,85.79
2016,6,0.79,70.93,90.35
2016,7,0.81,70.93,87.54
2016,8,0.86,70.93,82.75
2016,9,0.84,70.93,84.17
2016,10,0.78,70.93,90.68
2016,11,0.83,76.09,91.62
2016,12,0.77,76.09,99.17
2017,1,0.72,76.09,106.13
2017,2,0.76,76.09,103.73
2017,3,0.79,78.88,99.84
2017,4,0.78,78.88,100.66
2017,5,0.86,82.89,96.17
2017,6,0.91,82.89,91.36
2017,7,0.89,82.89,93.03
2017,8,0.86,82.89,96.72
2017,9,0.81,82.89,102.15
2017,10,0.79,82.89,104.61
2017,11,0.67,73.95,109.78
2017,12,0.66,73.95,111.3
2018,1,0.65,73.95,113.2
2018,2,0.66,73.95,111.85
2018,3,0.67,73.95,110.61
2018,4,0.64,73.95,114.73
2018,5,0.62,76.41,122.9
2018,6,0.62,76.41,123
2018,7,0.63,80.13,127.34
2018,8,0.63,80.13,127.81
2018,9,0.6,80.13,133.3
2018,10,0.59,80.13,136.55
2018,11,0.66,80.13,121.36
2018,12,0.74,80.13,108.48
2019,1,0.77,80.13,103.66
2019,2,0.74,80.13,108.21
2019,3,0.69,80.13,115.77
2019,4,0.66,80.13,120.99
2019,5,0.65,80.13,123.45
2019,6,0.7,80.13,115.01
2019,7,0.73,84.7,116.15
2019,8,0.73,84.7,115.29
2019,9,0.73,84.7,115.88
2019,10,0.73,84.7,116.43
2019,11,0.72,84.7,117.19
2019,12,0.71,84.7,120.12
2020,1,0.71,84.7,119.47
2020,2,0.77,84.7,110.13
2020,3,0.98,84.7,86.64
2020,4,1.33,84.7,63.83
2020,5,1.33,84.7,63.69
2020,6,1.07,84.7,78.99
2020,7,0.85,70.98,83.16
2020,8,0.86,72.93,84.71
