"시점",한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,한전 자회사,타사,타사,타사,타사,타사,타사,타사,타사,타사,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,사업자,상용자가,상용자가,상용자가,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량,총 발전량
"시점",소계,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,복합화력,복합화력,집단,내연력,대체,원자력,소계,수력,수력,수력,기력(중유),복합화력,복합화력,복합화력,집단&대체,소계,수력,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,복합화력,복합화력,내연력,원자력,집단,대체,집단&대체,소계,한전구입,자가 소비,소계,수력,기력,내연력,원자력,복합화력,사업자+한전구입,사업자+상용자가
"시점",소계,소계,일반,양수,소계,무연탄,유연탄,중유,LNG,소계,일반,열공급,소계,소계,소계,소계,소계,소계,일반,소수력,소계,소계,일반,열공급,소계,소계,소계,일반,양수,소수력,소계,무연탄,유연탄,중유,LNG,소계,일반,열공급,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"1996.01",16379503,275441,-,-,8060220,-,-,-,-,2056170,-,-,-,72696,-,5914976,499912,87850,-,-,348759,63303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16879415,363291,8408979,72696,5914976,2119473,-,-
"1996.02",14946085,273885,-,-,7295448,-,-,-,-,1814917,-,-,-,64679,-,5497157,440804,82495,-,-,297637,60672,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15386890,356379,7593086,64679,5497157,1875589,-,-
"1996.03",16361713,287330,-,-,7941015,-,-,-,-,1873066,-,-,-,64834,-,6195468,492238,75650,-,-,365926,50662,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16853951,362980,8306941,64834,6195468,1923728,-,-
"1996.04",15612722,276682,-,-,7936402,-,-,-,-,1699358,-,-,-,62517,-,5637764,501499,90733,-,-,362949,47816,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16114221,367415,8299351,62517,5637764,1747174,-,-
"1996.05",16057404,327237,-,-,7819184,-,-,-,-,2049991,-,-,-,60807,-,5800186,493232,113425,-,-,336843,42964,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16550637,440662,8156027,60807,5800186,2092955,-,-
"1996.06",16059728,370382,-,-,7298169,-,-,-,-,1817277,-,-,-,58841,-,6515060,615145,206456,-,-,325518,83172,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16674873,576838,7623686,58841,6515060,1900449,-,-
"1996.07",17657771,477910,-,-,7691843,-,-,-,-,2155786,-,-,-,66550,-,7265681,690830,210062,-,-,375160,105608,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18348601,687972,8067004,66550,7265681,2261394,-,-
"1996.08",18147327,444881,-,-,8708273,-,-,-,-,2285110,-,-,-,73492,-,6635571,661745,163491,-,-,359951,138303,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18809072,608372,9068224,73492,6635571,2423413,-,-
"1996.09",16000820,302732,-,-,7214316,-,-,-,-,2094861,-,-,-,57056,-,6331855,500349,75909,-,-,306270,118170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16501169,378641,7520586,57056,6331855,2213031,-,-
"1996.10",16927339,266687,-,-,7945638,-,-,-,-,2828172,-,-,-,70313,-,5816529,562089,76847,-,-,342722,142520,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17489427,343534,8288360,70313,5816529,2970692,-,-
"1996.11",16928760,257408,-,-,8100307,-,-,-,-,2596883,-,-,-,57790,-,5916371,548906,67458,-,-,357761,123687,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17477666,324866,8458068,57790,5916371,2720570,-,-
"1996.12",17814143,313778,-,-,8500986,-,-,-,-,2539386,-,-,-,62271,-,6397722,593489,76596,-,-,362220,154673,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18407631,390373,8863206,62271,6397722,2694059,-,-
"1997.01",17756713,307737,-,-,8474212,-,-,-,-,2820603,-,-,-,69361,-,6084799,704726,72241,-,-,366807,265678,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18461439,379979,8841019,69361,6084799,3086281,-,-
"1997.02",15497371,240769,-,-,7702846,-,-,-,-,2477715,-,-,-,56702,-,5019339,730916,64023,-,-,334948,331944,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16228287,304792,8037794,56702,5019339,2809659,-,-
"1997.03",17694014,243629,-,-,9513981,-,-,-,-,3093618,-,-,-,62804,-,4779982,708846,46053,-,-,311400,351394,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18402861,289682,9825381,62804,4779982,3445012,-,-
"1997.04",17043668,266198,-,-,8159875,-,-,-,-,2828997,-,-,-,66599,-,5721999,698484,53001,-,-,256346,389137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17742152,319199,8416221,66599,5721999,3218134,-,-
"1997.05",17460288,349893,-,-,8773179,-,-,-,-,2407760,-,-,-,59108,-,5870348,686443,93194,-,-,222850,370399,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18146730,443087,8996029,59108,5870348,2778159,-,-
"1997.06",17919936,417444,-,-,7976376,-,-,-,-,2408626,-,-,-,54649,-,7062841,712279,224054,-,-,204913,283313,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18632215,641498,8181289,54649,7062841,2691939,-,-
"1997.07",19365024,401012,-,-,8606145,-,-,-,-,2499798,-,-,-,62068,-,7796002,1039620,406793,-,-,263983,368843,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20404644,807805,8870128,62068,7796002,2868641,-,-
"1997.08",19615842,383843,-,-,8928200,-,-,-,-,2407090,-,-,-,67988,-,7828720,973897,232825,-,-,246601,494470,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20589738,616668,9174802,67988,7828720,2901560,-,-
"1997.09",17631684,293454,-,-,8325673,-,-,-,-,1831091,-,-,-,51786,-,7129680,700157,111324,-,-,136613,452221,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18331841,404777,8462285,51786,7129680,2283312,-,-
"1997.10",18412911,233561,-,-,9508714,-,-,-,-,2562993,-,-,-,53632,-,6054010,824024,96038,-,-,216011,511975,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19236935,329600,9724725,53632,6054010,3074968,-,-
"1997.11",18127511,272660,-,-,9279367,-,-,-,-,2347140,-,-,-,54457,-,6173887,797604,82527,-,-,281778,433298,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18925115,355187,9561146,54457,6173887,2780438,-,-
