,date,values
0,2021-09-01 00:00:00,2070
1,2021-09-01 01:00:00,1773
2,2021-09-01 02:00:00,1618
3,2021-09-01 03:00:00,1549
4,2021-09-01 04:00:00,1501
5,2021-09-01 05:00:00,1590
6,2021-09-01 06:00:00,1753
7,2021-09-01 07:00:00,2212
8,2021-09-01 08:00:00,3828
9,2021-09-01 09:00:00,4739
10,2021-09-01 10:00:00,6767
11,2021-09-01 11:00:00,7471
12,2021-09-01 12:00:00,7390
13,2021-09-01 13:00:00,6919
14,2021-09-01 14:00:00,7872
15,2021-09-01 15:00:00,8215
16,2021-09-01 16:00:00,8085
17,2021-09-01 17:00:00,8402
18,2021-09-01 18:00:00,8248
19,2021-09-01 19:00:00,8635
20,2021-09-01 20:00:00,8304
21,2021-09-01 21:00:00,6672
22,2021-09-01 22:00:00,4658
23,2021-09-01 23:00:00,2542
24,2021-09-02 00:00:00,1983
25,2021-09-02 01:00:00,1743
26,2021-09-02 02:00:00,1544
27,2021-09-02 03:00:00,1493
28,2021-09-02 04:00:00,1458
29,2021-09-02 05:00:00,1557
30,2021-09-02 06:00:00,1744
31,2021-09-02 07:00:00,2093
32,2021-09-02 08:00:00,3491
33,2021-09-02 09:00:00,4724
34,2021-09-02 10:00:00,6627
35,2021-09-02 11:00:00,7190
36,2021-09-02 12:00:00,7198
37,2021-09-02 13:00:00,7530
38,2021-09-02 14:00:00,8794
39,2021-09-02 15:00:00,9244
40,2021-09-02 16:00:00,9194
41,2021-09-02 17:00:00,8562
42,2021-09-02 18:00:00,8401
43,2021-09-02 19:00:00,9230
44,2021-09-02 20:00:00,8742
45,2021-09-02 21:00:00,7701
46,2021-09-02 22:00:00,5540
47,2021-09-02 23:00:00,3241
48,2021-09-03 00:00:00,2615
49,2021-09-03 01:00:00,2379
50,2021-09-03 02:00:00,2187
51,2021-09-03 03:00:00,2116
52,2021-09-03 04:00:00,2127
53,2021-09-03 05:00:00,2185
54,2021-09-03 06:00:00,2299
55,2021-09-03 07:00:00,2680
56,2021-09-03 08:00:00,4294
57,2021-09-03 09:00:00,5219
58,2021-09-03 10:00:00,6180
59,2021-09-03 11:00:00,7690
60,2021-09-03 12:00:00,7441
61,2021-09-03 13:00:00,7249
62,2021-09-03 14:00:00,8492
63,2021-09-03 15:00:00,9110
64,2021-09-03 16:00:00,9539
65,2021-09-03 17:00:00,9061
66,2021-09-03 18:00:00,9613
67,2021-09-03 19:00:00,10794
68,2021-09-03 20:00:00,10424
69,2021-09-03 21:00:00,9830
70,2021-09-03 22:00:00,6732
71,2021-09-03 23:00:00,3456
72,2021-09-04 00:00:00,2486
73,2021-09-04 01:00:00,2124
74,2021-09-04 02:00:00,1914
75,2021-09-04 03:00:00,1741
76,2021-09-04 04:00:00,1756
77,2021-09-04 05:00:00,1859
78,2021-09-04 06:00:00,2059
79,2021-09-04 07:00:00,2264
80,2021-09-04 08:00:00,2619
81,2021-09-04 09:00:00,3823
82,2021-09-04 10:00:00,5489
83,2021-09-04 11:00:00,6629
84,2021-09-04 12:00:00,7410
85,2021-09-04 13:00:00,8070
86,2021-09-04 14:00:00,9697
87,2021-09-04 15:00:00,11112
88,2021-09-04 16:00:00,12463
89,2021-09-04 17:00:00,12824
90,2021-09-04 18:00:00,13184
91,2021-09-04 19:00:00,14308
92,2021-09-04 20:00:00,13989
93,2021-09-04 21:00:00,12428
94,2021-09-04 22:00:00,8647
95,2021-09-04 23:00:00,3774
96,2021-09-05 00:00:00,2746
97,2021-09-05 01:00:00,2449
98,2021-09-05 02:00:00,2122
99,2021-09-05 03:00:00,1999
100,2021-09-05 04:00:00,1983
101,2021-09-05 05:00:00,2089
102,2021-09-05 06:00:00,2063
103,2021-09-05 07:00:00,2306
104,2021-09-05 08:00:00,2549
105,2021-09-05 09:00:00,3537
106,2021-09-05 10:00:00,4329
107,2021-09-05 11:00:00,6165
108,2021-09-05 12:00:00,6986
109,2021-09-05 13:00:00,7476
110,2021-09-05 14:00:00,7939
111,2021-09-05 15:00:00,8948
112,2021-09-05 16:00:00,9325
113,2021-09-05 17:00:00,10360
114,2021-09-05 18:00:00,10262
115,2021-09-05 19:00:00,9837
116,2021-09-05 20:00:00,9121
117,2021-09-05 21:00:00,7712
118,2021-09-05 22:00:00,4873
119,2021-09-05 23:00:00,2486
120,2021-09-06 00:00:00,1871
121,2021-09-06 01:00:00,1627
122,2021-09-06 02:00:00,1453
123,2021-09-06 03:00:00,1316
124,2021-09-06 04:00:00,1303
125,2021-09-06 05:00:00,1560
126,2021-09-06 06:00:00,1708
127,2021-09-06 07:00:00,2009
128,2021-09-06 08:00:00,3680
129,2021-09-06 09:00:00,4744
130,2021-09-06 10:00:00,6481
131,2021-09-06 11:00:00,7444
132,2021-09-06 12:00:00,6789
133,2021-09-06 13:00:00,6941
134,2021-09-06 14:00:00,8077
135,2021-09-06 15:00:00,8755
136,2021-09-06 16:00:00,8477
137,2021-09-06 17:00:00,7638
138,2021-09-06 18:00:00,7985
139,2021-09-06 19:00:00,8148
140,2021-09-06 20:00:00,7233
141,2021-09-06 21:00:00,5890
142,2021-09-06 22:00:00,4409
143,2021-09-06 23:00:00,2212
144,2021-09-07 00:00:00,2208
145,2021-09-07 01:00:00,2032
146,2021-09-07 02:00:00,2050
147,2021-09-07 03:00:00,1973
148,2021-09-07 04:00:00,1811
149,2021-09-07 05:00:00,1619
150,2021-09-07 06:00:00,1633
151,2021-09-07 07:00:00,1903
152,2021-09-07 08:00:00,3704
153,2021-09-07 09:00:00,5092
154,2021-09-07 10:00:00,6832
155,2021-09-07 11:00:00,8041
156,2021-09-07 12:00:00,7214
157,2021-09-07 13:00:00,7180
158,2021-09-07 14:00:00,8328
159,2021-09-07 15:00:00,9467
160,2021-09-07 16:00:00,8544
161,2021-09-07 17:00:00,7983
162,2021-09-07 18:00:00,8018
163,2021-09-07 19:00:00,8447
164,2021-09-07 20:00:00,7849
165,2021-09-07 21:00:00,6622
166,2021-09-07 22:00:00,4613
167,2021-09-07 23:00:00,2305
168,2021-09-08 00:00:00,1859
169,2021-09-08 01:00:00,1592
170,2021-09-08 02:00:00,1504
171,2021-09-08 03:00:00,1460
172,2021-09-08 04:00:00,1335
173,2021-09-08 05:00:00,1604
174,2021-09-08 06:00:00,1727
175,2021-09-08 07:00:00,2062
176,2021-09-08 08:00:00,3549
177,2021-09-08 09:00:00,4936
178,2021-09-08 10:00:00,6597
179,2021-09-08 11:00:00,7440
180,2021-09-08 12:00:00,7609
181,2021-09-08 13:00:00,7390
182,2021-09-08 14:00:00,8942
183,2021-09-08 15:00:00,9521
184,2021-09-08 16:00:00,9270
185,2021-09-08 17:00:00,9135
186,2021-09-08 18:00:00,9163
187,2021-09-08 19:00:00,10250
188,2021-09-08 20:00:00,9756
189,2021-09-08 21:00:00,8111
190,2021-09-08 22:00:00,5240
191,2021-09-08 23:00:00,2570
192,2021-09-09 00:00:00,1981
193,2021-09-09 01:00:00,1689
194,2021-09-09 02:00:00,1450
195,2021-09-09 03:00:00,1386
196,2021-09-09 04:00:00,1359
197,2021-09-09 05:00:00,1538
198,2021-09-09 06:00:00,1635
199,2021-09-09 07:00:00,1986
200,2021-09-09 08:00:00,3677
201,2021-09-09 09:00:00,4685
202,2021-09-09 10:00:00,6847
203,2021-09-09 11:00:00,7419
204,2021-09-09 12:00:00,7548
205,2021-09-09 13:00:00,7462
206,2021-09-09 14:00:00,8539
207,2021-09-09 15:00:00,9048
208,2021-09-09 16:00:00,8568
209,2021-09-09 17:00:00,8711
210,2021-09-09 18:00:00,8855
211,2021-09-09 19:00:00,9346
212,2021-09-09 20:00:00,9132
213,2021-09-09 21:00:00,7931
214,2021-09-09 22:00:00,5597
215,2021-09-09 23:00:00,2752
216,2021-09-10 00:00:00,1981
217,2021-09-10 01:00:00,1743
218,2021-09-10 02:00:00,1736
219,2021-09-10 03:00:00,1482
220,2021-09-10 04:00:00,1502
221,2021-09-10 05:00:00,1636
222,2021-09-10 06:00:00,1767
223,2021-09-10 07:00:00,2058
224,2021-09-10 08:00:00,3604
225,2021-09-10 09:00:00,4750
226,2021-09-10 10:00:00,6577
227,2021-09-10 11:00:00,7948
228,2021-09-10 12:00:00,7963
229,2021-09-10 13:00:00,7481
230,2021-09-10 14:00:00,8680
231,2021-09-10 15:00:00,9205
232,2021-09-10 16:00:00,9269
233,2021-09-10 17:00:00,9308
234,2021-09-10 18:00:00,9662
235,2021-09-10 19:00:00,11431
236,2021-09-10 20:00:00,11785
237,2021-09-10 21:00:00,10863
238,2021-09-10 22:00:00,7313
239,2021-09-10 23:00:00,3575
240,2021-09-11 00:00:00,2519
241,2021-09-11 01:00:00,2252
242,2021-09-11 02:00:00,2040
243,2021-09-11 03:00:00,1839
244,2021-09-11 04:00:00,1782
245,2021-09-11 05:00:00,1923
246,2021-09-11 06:00:00,2050
247,2021-09-11 07:00:00,2138
248,2021-09-11 08:00:00,2419
249,2021-09-11 09:00:00,3426
250,2021-09-11 10:00:00,4860
251,2021-09-11 11:00:00,6240
252,2021-09-11 12:00:00,7039
253,2021-09-11 13:00:00,7936
254,2021-09-11 14:00:00,9811
255,2021-09-11 15:00:00,11581
256,2021-09-11 16:00:00,13461
257,2021-09-11 17:00:00,13456
258,2021-09-11 18:00:00,14654
259,2021-09-11 19:00:00,15453
260,2021-09-11 20:00:00,14916
261,2021-09-11 21:00:00,13359
262,2021-09-11 22:00:00,9203
263,2021-09-11 23:00:00,4139
264,2021-09-12 00:00:00,2928
265,2021-09-12 01:00:00,2599
266,2021-09-12 02:00:00,2289
267,2021-09-12 03:00:00,2034
268,2021-09-12 04:00:00,1926
269,2021-09-12 05:00:00,1975
270,2021-09-12 06:00:00,2087
271,2021-09-12 07:00:00,2211
272,2021-09-12 08:00:00,2524
273,2021-09-12 09:00:00,3435
274,2021-09-12 10:00:00,4413
275,2021-09-12 11:00:00,6134
276,2021-09-12 12:00:00,7095
277,2021-09-12 13:00:00,7590
278,2021-09-12 14:00:00,9572
279,2021-09-12 15:00:00,10028
280,2021-09-12 16:00:00,10305
281,2021-09-12 17:00:00,11385
282,2021-09-12 18:00:00,11957
283,2021-09-12 19:00:00,11023
284,2021-09-12 20:00:00,10298
285,2021-09-12 21:00:00,8295
286,2021-09-12 22:00:00,5339
287,2021-09-12 23:00:00,2680
288,2021-09-13 00:00:00,2052
289,2021-09-13 01:00:00,1781
290,2021-09-13 02:00:00,1595
291,2021-09-13 03:00:00,1515
292,2021-09-13 04:00:00,1508
293,2021-09-13 05:00:00,1538
294,2021-09-13 06:00:00,1646
295,2021-09-13 07:00:00,2043
296,2021-09-13 08:00:00,3784
297,2021-09-13 09:00:00,4658
298,2021-09-13 10:00:00,6483
299,2021-09-13 11:00:00,7593
300,2021-09-13 12:00:00,7258
301,2021-09-13 13:00:00,7052
302,2021-09-13 14:00:00,8304
303,2021-09-13 15:00:00,9131
304,2021-09-13 16:00:00,9155
305,2021-09-13 17:00:00,8457
306,2021-09-13 18:00:00,8537
307,2021-09-13 19:00:00,9312
308,2021-09-13 20:00:00,8231
309,2021-09-13 21:00:00,6945
310,2021-09-13 22:00:00,4780
311,2021-09-13 23:00:00,2595
312,2021-09-14 00:00:00,1975
313,2021-09-14 01:00:00,1803
314,2021-09-14 02:00:00,1696
315,2021-09-14 03:00:00,1580
316,2021-09-14 04:00:00,1498
317,2021-09-14 05:00:00,1570
318,2021-09-14 06:00:00,1666
319,2021-09-14 07:00:00,2089
