,datetime,year,month,수력,화력,원자력,내연력,집단에너지,대체에너지,기력,중유,무연탄,유연탄,LNG
0,1996-01-01,1996,1,363291,2119473,5914976,72696,445503.0,27078.0,8408979,1138275.0,449786.0,5478528.0,233891.0
1,1996-02-01,1996,2,356379,1875589,5497157,64679,445503.0,27078.0,7593086,1138275.0,449786.0,5478528.0,233891.0
2,1996-03-01,1996,3,362980,1923728,6195468,64834,445503.0,27078.0,8306941,1138275.0,449786.0,5478528.0,233891.0
3,1996-04-01,1996,4,367415,1747174,5637764,62517,445503.0,27078.0,8299351,1138275.0,449786.0,5478528.0,233891.0
4,1996-05-01,1996,5,440662,2092955,5800186,60807,445503.0,27078.0,8156027,1138275.0,449786.0,5478528.0,233891.0
5,1996-06-01,1996,6,576838,1900449,6515060,58841,445503.0,27078.0,7623686,1138275.0,449786.0,5478528.0,233891.0
6,1996-07-01,1996,7,687972,2261394,7265681,66550,445503.0,27078.0,8067004,1138275.0,449786.0,5478528.0,233891.0
7,1996-08-01,1996,8,608372,2423413,6635571,73492,445503.0,27078.0,9068224,1138275.0,449786.0,5478528.0,233891.0
8,1996-09-01,1996,9,378641,2213031,6331855,57056,445503.0,27078.0,7520586,1138275.0,449786.0,5478528.0,233891.0
9,1996-10-01,1996,10,343534,2970692,5816529,70313,445503.0,27078.0,8288360,1138275.0,449786.0,5478528.0,233891.0
10,1996-11-01,1996,11,324866,2720570,5916371,57790,445503.0,27078.0,8458068,1138275.0,449786.0,5478528.0,233891.0
11,1996-12-01,1996,12,390373,2694059,6397722,62271,445503.0,27078.0,8863206,1138275.0,449786.0,5478528.0,233891.0
12,1997-01-01,1997,1,379979,3086281,6084799,69361,445503.0,27078.0,8841019,1138275.0,449786.0,5478528.0,233891.0
13,1997-02-01,1997,2,304792,2809659,5019339,56702,445503.0,27078.0,8037794,1138275.0,449786.0,5478528.0,233891.0
14,1997-03-01,1997,3,289682,3445012,4779982,62804,445503.0,27078.0,9825381,1138275.0,449786.0,5478528.0,233891.0
15,1997-04-01,1997,4,319199,3218134,5721999,66599,445503.0,27078.0,8416221,1138275.0,449786.0,5478528.0,233891.0
